X,Y
54.56069,-30.919601
70.69112,-42.651657
37.34656,-19.467146
45.349277,-15.257744
31.933271,-21.128298
34.500793,-30.634739
48.73504,-33.195778
75.76384,-41.759144
36.749443,-32.611706
30.620583,-29.366474
32.63925,-32.73228
70.09422,-39.40638
28.276163,-15.837685
77.0995,-53.27723
59.444843,-29.333307
37.71093,-36.308216
72.07277,-44.633587
35.755077,-35.95975
31.308138,-35.663948
33.402813,-34.627365
30.662745,-41.892506
45.37779,-34.39841
40.231094,-16.909971
42.14586,-21.047094
53.764328,-20.2954
47.931232,-10.212076
55.861507,-28.983925
63.651474,-19.692625
61.029884,-30.672346
48.223896,-31.11707
50.49333,-32.090984
28.787575,-16.259438
38.16145,-15.946676
55.26767,-26.388657
45.341217,-33.209446
29.206772,-26.29526
60.95846,-19.47942
30.064287,-21.515797
45.32886,-32.768204
36.242016,-15.292249
52.32872,-28.263626
29.961842,-27.669313
54.26487,-29.325373
50.117096,-30.557306
53.92135,-21.897131
47.09315,-33.158855
64.74138,-30.354
32.817738,-36.61087
43.922035,-34.428677
43.790867,-32.43684
48.615807,-33.896294
49.633865,-20.166233
43.50493,-17.27497
40.81504,-33.310574
76.77604,-52.84741
58.45467,-17.875782
43.00721,-13.93638
34.176212,-40.88498
78.907196,-55.349945
61.868618,-36.405365
60.40936,-24.935698
68.89831,-26.644281
45.06665,-11.785686
52.678318,-8.826435
62.285946,-22.65548
36.949524,-33.983864
25.558416,-37.143578
57.480312,-23.47759
42.998463,-34.293674
62.186356,-29.844976
57.133446,-30.153664
44.279972,-11.502193
37.96251,-15.844052
34.82424,-35.857277
75.24753,-47.30067
40.074375,-32.829605
64.73975,-31.401712
27.720854,-23.59596
61.28865,-28.014536
41.602623,-34.174755
62.299862,-26.078547
59.96996,-15.457314
29.818607,-20.284414
63.55142,-27.857819
33.49823,-18.755621
42.7097,-31.391617
81.20163,-50.91737
32.537548,-29.914927
53.517914,-30.746935
72.52954,-51.129845
29.544544,-17.114393
57.58189,-22.13265
46.48092,-30.70791
61.092957,-30.998457
39.24239,-15.088164
32.15556,-23.255978
44.590847,-15.245987
23.509027,-38.388325
57.26849,-11.980999
34.05297,-28.39398
64.201454,-32.30483
73.527275,-53.38514
34.959652,-34.27556
37.634884,-38.02951
45.738777,-7.4294477
34.221672,-33.306553
43.47326,-32.08369
61.53272,-28.848248
50.43514,-30.454533
61.79256,-28.498507
31.449644,-33.681034
63.18873,-30.737991
59.268066,-31.393194
46.081867,-32.292236
34.40527,-35.130783
37.817074,-33.57436
58.86221,-26.095005
53.557858,-10.973333
67.62484,-24.788555
42.97077,-16.309566
41.152718,-16.433737
42.995823,-32.518867
60.10967,-19.372503
31.939047,-20.876358
56.63193,-28.045841
53.176064,-26.898304
50.08831,-33.342724
40.956665,-18.584764
40.25384,-14.598468
51.796192,-10.614479
62.027313,-29.725477
30.892696,-40.861286
43.9796,-15.043467
52.109352,-27.556755
63.400906,-23.256006
59.547314,-32.17578
52.82781,-10.932226
62.90998,-32.69124
47.316013,-30.95149
37.60973,-31.990417
24.734137,-38.119987
55.59098,-28.963211
79.68254,-61.03156
33.345848,-32.177505
51.921227,-30.781757
64.47817,-28.482676
79.03046,-52.17346
54.25553,-9.223125
37.708096,-31.338129
42.34687,-32.009766
53.2624,-29.08413
36.757996,-13.260726
59.729347,-31.172733
45.711544,-11.497346
70.93395,-66.682686
40.23189,-19.050407
41.463627,-14.629566
50.13126,-27.574776
30.10936,-18.445942
31.712502,-34.28276
23.037844,-27.610083
78.34093,-53.43882
77.529015,-53.68718
41.105637,-32.963978
74.71077,-51.14204
61.673687,-19.101055
43.42811,-20.599173
72.76449,-46.999847
54.066353,-11.444351
43.988667,-22.888819
68.00191,-35.792267
66.120094,-21.133276
29.879951,-23.19187
69.335754,-27.120754
36.02151,-34.029335
55.374172,-16.145645
35.72012,-33.65823
50.89833,-31.966263
64.45116,-26.017178
75.83624,-38.49441
57.16062,-9.347807
57.58627,-31.226547
46.751938,-12.207528
62.23496,-29.356247
43.567093,-13.813636
35.387966,-33.42206
45.94689,-13.38744
78.389915,-49.62246
34.087994,-32.72722
43.492737,-31.42666
26.524277,-37.671616
70.07294,-37.510124
48.50879,-34.733257
44.75397,-32.76193
36.59147,-18.094078
56.975845,-31.487585
68.05324,-38.637794
32.938282,-31.764008
62.52435,-27.784485
60.976192,-32.731857
55.02078,-5.9048505
59.90392,-32.44872
59.272644,-26.510324
54.339798,-31.843498
67.49915,-27.547289
33.6507,-19.418524
51.126877,-30.035858
61.910015,-32.821613
60.826378,-30.64868
62.76947,-20.30418
71.70134,-44.52852
32.310562,-18.654182
44.043297,-11.188015
33.48952,-28.076094
56.09899,-12.235303
57.831707,-20.659023
60.73315,-15.462246
30.365446,-26.082092
38.655975,-34.75868
33.20816,-15.083619
34.930714,-31.64061
58.932922,-26.510542
54.08528,-29.98
32.347862,-23.755535
69.11594,-33.272877
56.671803,-27.60169
42.706158,-33.149353
76.82338,-56.01665
46.117535,-32.44215
40.44073,-18.298088
62.011562,-32.390316
49.28476,-31.944141
33.64256,-28.118788
25.532658,-21.2756
37.412067,-36.32454
43.910583,-14.218154
44.524044,-12.193965
77.04296,-56.648605
63.279377,-36.132423
53.805927,-10.806417
64.03947,-27.585646
49.09575,-12.736802
59.421814,-17.589573
67.14463,-38.319035
32.88306,-31.647367
54.7231,-9.845274
35.692505,-34.245193
38.410824,-17.147429
55.29557,-10.839289
57.256527,-23.711447
27.606462,-38.05715
72.204094,-49.437126
46.583336,-20.265728
77.2325,-53.502266
26.904057,-41.14374
44.406708,-16.545448
32.536194,-18.721693
59.299015,-27.787802
58.657764,-22.952738
32.65143,-22.55024
34.638832,-34.044254
33.989273,-20.109535
32.499424,-35.018124
42.91696,-32.923706
36.322544,-17.819798
42.4652,-32.49779
33.11918,-17.7019
55.69563,-9.397486
59.999096,-22.797596
29.751423,-25.14607
58.345036,-8.608221
36.408066,-27.998215
34.863117,-14.901299
28.66707,-25.124874
37.975315,-31.71283
38.722717,-37.055386
57.041237,-29.57162
71.71386,-48.585945
75.33841,-52.34551
32.529118,-36.31027
42.87829,-19.787476
38.0397,-33.77565
58.154152,-29.075933
38.430576,-30.416199
69.38945,-49.638084
72.32732,-46.075623
31.180935,-17.407562
48.89372,-31.708033
42.254684,-32.293453
60.98668,-23.670353
41.70342,-25.353603
46.359165,-32.29711
58.471798,-31.787085
27.836756,-17.625803
61.78768,-26.353075
78.56054,-53.315384
62.24108,-29.146795
36.457478,-14.743866
33.21419,-30.087208
46.018936,-31.769932
44.09469,-34.12128
65.44509,-23.613768
26.679646,-37.04927
57.224995,-17.731863
37.76329,-26.082851
31.43876,-31.927559
44.20841,-36.0513
41.40838,-26.14331
55.074005,-30.056063
36.459915,-37.053913
39.629635,-39.577435
38.433697,-37.80805
42.208096,-19.291254
44.034096,-32.006493
79.44364,-55.431786
59.691647,-22.576187
42.390255,-33.21141
32.67087,-32.019165
44.454403,-22.922327
47.476055,-31.728163
46.24437,-20.142477
75.87199,-36.80816
56.885963,-9.510275
61.172447,-31.824024
54.85958,-30.455803
60.831753,-20.473574
55.843697,-8.703926
42.207054,-24.30808
44.748318,-30.818907
59.635952,-16.579517
39.856525,-20.919708
63.15978,-32.070213
70.265236,-35.40445
45.471462,-34.31676
41.89035,-14.050784
47.44133,-32.156353
29.357994,-23.34876
32.38419,-30.417652
33.044796,-36.000366
